ALOGPS_order,Compound_ID,SMILES,logP_exp,N_count,FM,ALOGPS_2_1_logP,ALOGPS_logS,delta_ALOGPS_2_1_logP,abs_delta_ALOGPS_2_1_logP,ALOGPS_output_SMILES
72,CMR_GOLD_073,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC4=CC3=C(OCCO3)C=C4,2.07,1,FM2,3.72,-4.54,-1.6500000000000004,1.6500000000000004,O=C2C(=C(P(OCC)(OCC)=O)c1c(cccc1)O2)C(C)Nc4cc3c(OCCO3)cc4
73,CMR_GOLD_074,COC1=CC=C(C=C1)CCNC(C)C2=C(C3=C(OC2=O)C=CC=C3)[P](OCC)(OCC)=O,2.43,1,FM2,3.81,-5.64,-1.38,1.38,COc1ccc(cc1)CCNC(C)C2=C(c3c(OC2=O)cccc3)P(OCC)(OCC)=O
74,CMR_GOLD_075,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC3=CC=CC4=C3C=CC=C4,2.65,1,FM2,4.84,-5.97,-2.19,2.19,O=C2C(=C(P(OCC)(OCC)=O)c1c(cccc1)O2)C(C)Nc3cccc4c3cccc4
75,CMR_GOLD_076,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NCC3=CC=C(F)C=C3,2.52,1,FM2,3.63,-5.76,-1.1099999999999999,1.1099999999999999,O=C2C(=C(P(OCC)(OCC)=O)c1c(cccc1)O2)C(C)NCc3ccc(F)cc3
76,CMR_GOLD_077,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC5=CC=C(C4=C(C(OCC)=O)C3=C(C=CC=C3)N=C4)C=C5,2.8,2,FM2,5.45,-6.32,-2.6500000000000004,2.6500000000000004,O=C2C(=C(P(OCC)(OCC)=O)c1c(cccc1)O2)C(C)Nc5ccc(c4c(C(OCC)=O)c3c(cccc3)nc4)cc5
77,CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.25,4,FM3,2.68,-4.0,-0.43000000000000016,0.43000000000000016,O=C(NCc1cn(C(C2=O)=Cc3c(O2)cccc3)nn1)c4ccccc4
78,CMR_GOLD_079,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.02,4,FM3,2.28,-3.55,-0.2599999999999998,0.2599999999999998,O=C(NCc1cn(C(C2=O)=Cc3c(O2)cccc3)nn1)c4ccccc4O
79,CMR_GOLD_080,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,1.9,5,FM3,2.67,-4.31,-0.77,0.77,O=C(NCc1cn(C(C2=O)=Cc3c(O2)cccc3)nn1)Cc4ccccc4N(=O)=O
80,CMR_GOLD_081,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,1.95,4,FM3,2.14,-3.69,-0.19000000000000017,0.19000000000000017,O=C(NCc1cn(C(C2=O)=Cc3c(O2)cccc3)nn1)c4ccc(O)c(OC)c4
81,CMR_GOLD_082,OC(C(OC)=C1)=CC=C1/C=C/C(NCC(N=N2)=CN2C3=CC4=C(C=CC=C4)OC3=O)=O,2.65,4,FM3,2.76,-4.52,-0.10999999999999988,0.10999999999999988,Oc(c(OC)c1)ccc1C=CC(NCc(nn2)cn2C3=Cc4c(cccc4)OC3=O)=O
82,CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.38,3,FM2,3.13,-4.2,-0.75,0.75,O=C(OCc1cn(C(C2=O)=Cc3c(O2)cccc3)nn1)c4ccccc4
83,CMR_GOLD_084,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.65,3,FM2,3.11,-3.61,-0.45999999999999996,0.45999999999999996,O=C(OCc1cn(C(C2=O)=Cc3c(O2)cccc3)nn1)c4ccccc4O
