Compound_ID,SMILES,logP_exp,N_count,FM,OPERA_logP,OPERA_logP_predRange,OPERA_AD_LogP,OPERA_AD_index_LogP,OPERA_Conf_index_LogP,delta_OPERA_logP,abs_delta_OPERA_logP
CMR_GOLD_074,COC1=CC=C(C=C1)CCNC(C)C2=C(C3=C(OC2=O)C=CC=C3)[P](OCC)(OCC)=O,2.43,1,FM2,1.88,[0.84:2.92],1,0.453,0.44,0.5500000000000003,0.5500000000000003
CMR_GOLD_075,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC3=CC=CC4=C3C=CC=C4,2.65,1,FM2,5.48,[4.71:6.2],1,0.436,0.567,-2.8300000000000005,2.8300000000000005
CMR_GOLD_076,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NCC3=CC=C(F)C=C3,2.52,1,FM2,2.54,[1.03:4.05],1,0.432,0.351,-0.020000000000000018,0.020000000000000018
CMR_GOLD_077,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC5=CC=C(C4=C(C(OCC)=O)C3=C(C=CC=C3)N=C4)C=C5,2.8,2,FM2,1.04,[-2.26:4.34],1,0.351,0.1,1.7599999999999998,1.7599999999999998
CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.25,4,FM3,1.77,[0.79:2.66],1,0.516,0.505,0.48,0.48
CMR_GOLD_079,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.02,4,FM3,1.16,[-0.04:2.36],1,0.492,0.458,0.8600000000000001,0.8600000000000001
CMR_GOLD_080,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,1.9,5,FM3,0.88,[-1.34:3.1],1,0.416,0.226,1.02,1.02
CMR_GOLD_081,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,1.95,4,FM3,1.14,[-0.77:2.66],1,0.441,0.359,0.81,0.81
CMR_GOLD_082,OC(C(OC)=C1)=CC=C1/C=C/C(NCC(N=N2)=CN2C3=CC4=C(C=CC=C4)OC3=O)=O,2.65,4,FM3,1.95,[1.05:2.66],1,0.435,0.503,0.7,0.7
CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.38,3,FM2,2.95,[2.06:3.84],1,0.519,0.537,-0.5700000000000003,0.5700000000000003
CMR_GOLD_084,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.65,3,FM2,2.22,[1.9:2.54],1,0.525,0.651,0.4299999999999997,0.4299999999999997
CMR_GOLD_085,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,2.41,4,FM3,1.65,[0.16:3.14],1,0.471,0.401,0.7600000000000002,0.7600000000000002
CMR_GOLD_086,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,2.61,3,FM2,2.73,[2.01:3.6],1,0.487,0.507,-0.1200000000000001,0.1200000000000001
CMR_GOLD_087,O=C1OC2=C(C=C1N3C=C(N=N3)COC(/C=C/C4=CC=C(C(OC)=C4)O)=O)C=CC=C2,2.64,3,FM2,2.25,[1.97:2.53],1,0.461,0.61,0.3900000000000001,0.3900000000000001
CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,1.498,1,FM1,1.76,[1.2:2.32],1,0.506,0.662,-0.262,0.262
CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,1.503,1,FM2,2.42,[1.77:3.07],1,0.528,0.642,-0.917,0.917
CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,2.152,1,FM2,3.0,[1.89:3.94],1,0.549,0.579,-0.8479999999999999,0.8479999999999999
CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,1.718,1,FM2,3.25,[2.64:3.75],1,0.415,0.618,-1.532,1.532
CMR_GOLD_092,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC=C(OC)C(OC)=C4,1.779,1,FM2,3.36,[2.71:4.01],1,0.43,0.527,-1.581,1.581
CMR_GOLD_093,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=C(OC)C=C(OC)C=C4,2.288,1,FM2,3.95,[2.92:4.98],1,0.457,0.464,-1.6620000000000004,1.6620000000000004
CMR_GOLD_094,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C(OC)=C3,1.295,1,FM1,1.92,[1.48:2.36],1,0.488,0.651,-0.625,0.625
CMR_GOLD_095,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C=C3,2.454,1,FM2,1.99,[1.49:2.49],1,0.531,0.607,0.4640000000000002,0.4640000000000002
CMR_GOLD_096,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC=C(OC)C=C3OC,1.443,1,FM1,3.33,[2.69:3.94],1,0.57,0.672,-1.887,1.887
