Sangster_ID,Name,CASRN,SMILES,logP_exp,Canonical_SMILES,InChIKey,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,aromatic_coumarin_core,four_hydroxycoumarin_like,strict_coumarin_any,name_contains_coumarin,coumarin_candidate_any,overlap_exact_inchikey_with_95,overlap_first_block_with_95
R38334283,"2H-1-Benzopyran-2-one, 7-[(3-methyl-2-buten-1-yl)oxy]-",10387-50-5,CC(C)=CCOC1=CC2=C(C=CC(=O)O2)C=C1,3.91,CC(C)=CCOc1ccc2ccc(=O)oc2c1,SMHJTSOVVRGDEO-UHFFFAOYSA-N,C14H14O3,SMHJTSOVVRGDEO,True,False,True,False,True,True,True,False,False
R38334300,"2H-1-Benzopyran-2-one, 7-(3-chloro-2-hydroxypropoxy)-4,8-dimethyl-",402618-20-6,CC1=CC(=O)OC2=C(C)C(OCC(O)CCl)=CC=C12,0.53,Cc1cc(=O)oc2c(C)c(OCC(O)CCl)ccc12,KFOQQUJPXOXNQN-UHFFFAOYSA-N,C14H15ClO4,KFOQQUJPXOXNQN,True,False,True,False,True,True,True,False,False
R38334440,"Phosphorothioic acid, O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",56-72-4,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,4.01,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,BXNANOICGRISHX-UHFFFAOYSA-N,C14H16ClO5PS,BXNANOICGRISHX,True,False,True,False,True,False,True,False,False
R38334509,"2H-1-Benzopyran-2-one, 4,8-dimethyl-7-(2,3-dihydroxypropoxy)-",402618-19-3,CC1=CC(=O)OC2=CC(C)=C(OCC(O)CO)C=C12,0.36,Cc1cc2oc(=O)cc(C)c2cc1OCC(O)CO,QASYNOWVXFHISD-UHFFFAOYSA-N,C14H16O5,QASYNOWVXFHISD,True,False,True,False,True,True,True,False,False
R38335703,"6H-Benzofuro[3,2-c]benzopyran-6-one, 3,9-dihydroxy-",479-13-0,OC1=CC=C2C(OC3=C2c(=O)OC2=CC(O)=CC=C32)=C1,2.69,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,ZZIALNLLNHEQPJ-UHFFFAOYSA-N,C15H8O5,ZZIALNLLNHEQPJ,True,False,True,False,True,False,True,False,False
R38336449,"2H-Thieno[3,2-h]-1-benzopyran-2-one, 4,6,8,9-tetramethyl-",213967-53-4,CC1=C(C)C2=C3OC(=O)C=C(C)C3=CC(C)=C2S1,4.09,Cc1sc2c(C)cc3c(C)cc(=O)oc3c2c1C,DECMEEUZTVLAAE-UHFFFAOYSA-N,C15H14O2S,DECMEEUZTVLAAE,True,False,True,False,True,True,True,False,False
R38336458,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,5,6,9-tetramethyl-",17231-03-7,CC1=COC2=C(C)C3=C(C=C12)C(C)=C(C)C(=O)O3,3.62,Cc1c(C)c2cc3c(C)coc3c(C)c2oc1=O,HTWWGBVBMFKAMA-UHFFFAOYSA-N,C15H14O3,HTWWGBVBMFKAMA,True,False,True,False,True,False,True,False,False
R38336462,"7H-Furo[3,2-g][1]benzopyran-7-one, 9-methoxy-2,3,6-trimethyl-",199442-21-2,COC1=C2OC(C)=C(C)C2=CC2=C1OC(=O)C(C)=C2,3.28,COc1c2oc(=O)c(C)cc2cc2c(C)c(C)oc12,LPLBMYQEPIYKRT-UHFFFAOYSA-N,C15H14O4,LPLBMYQEPIYKRT,True,False,True,False,True,False,True,False,False
R38336778,"2H-1-Benzopyran-2-one, 8-[(3,3-dimethyl-2-oxiranyl)methyl]-7-methoxy-",489-53-2,COC1=C(CC2OC2(C)C)C2=C(C=CC(=O)O2)C=C1,3.03,COc1ccc2ccc(=O)oc2c1CC1OC1(C)C,LSZONYLDFHGRDP-UHFFFAOYSA-N,C15H16O4,LSZONYLDFHGRDP,True,False,True,False,True,True,True,False,False
R38338155,"2H-1-Benzopyran-4-carboxaldehyde, 2-oxo-, 4-(phenylhydrazone)",41594-50-7,O=C1OC2=CC=CC=C2C(C=NNC2=CC=CC=C2)=C1,3.63,O=c1cc(C=NNc2ccccc2)c2ccccc2o1,VFVWDBBGIOSODM-UHFFFAOYSA-N,C16H12N2O2,VFVWDBBGIOSODM,True,False,True,False,True,False,True,False,True
